created_at,favorite_count,retweet_count
Fri Apr 19 23:54:42 +0000 2024,0,0
Fri Apr 19 23:48:36 +0000 2024,1,0
Fri Apr 19 23:44:22 +0000 2024,0,0
Fri Apr 19 23:42:40 +0000 2024,1,0
Fri Apr 19 23:37:34 +0000 2024,0,0
Fri Apr 19 23:30:17 +0000 2024,0,0
Fri Apr 19 23:28:23 +0000 2024,1,0
Fri Apr 19 23:24:22 +0000 2024,0,0
Fri Apr 19 23:24:00 +0000 2024,393,66
Fri Apr 19 23:17:24 +0000 2024,0,0
Fri Apr 19 23:10:44 +0000 2024,0,0
Fri Apr 19 23:06:46 +0000 2024,2,0
Fri Apr 19 22:58:51 +0000 2024,0,0
Fri Apr 19 22:51:41 +0000 2024,0,0
Fri Apr 19 22:46:48 +0000 2024,1,0
Fri Apr 19 22:45:33 +0000 2024,0,0
Fri Apr 19 22:43:20 +0000 2024,1,0
Fri Apr 19 22:42:37 +0000 2024,0,0
Fri Apr 19 22:40:58 +0000 2024,1,0
Fri Apr 19 17:33:36 +0000 2024,0,0
Fri Apr 19 17:15:17 +0000 2024,0,0
Fri Apr 19 17:09:33 +0000 2024,0,0
Fri Apr 19 16:56:42 +0000 2024,0,0
Fri Apr 19 16:56:24 +0000 2024,0,0
Fri Apr 19 16:55:58 +0000 2024,0,0
Fri Apr 19 16:53:46 +0000 2024,0,0
Fri Apr 19 16:44:57 +0000 2024,0,0
Fri Apr 19 16:33:46 +0000 2024,0,0
Fri Apr 19 16:30:46 +0000 2024,0,0
Fri Apr 19 16:30:45 +0000 2024,0,0
Fri Apr 19 16:18:39 +0000 2024,3,0
Fri Apr 19 16:07:03 +0000 2024,8,0
Fri Apr 19 15:43:06 +0000 2024,0,1
Fri Apr 19 14:18:55 +0000 2024,0,0
Fri Apr 19 14:15:38 +0000 2024,9,1
Fri Apr 19 14:12:39 +0000 2024,0,0
Fri Apr 19 14:10:56 +0000 2024,0,0
Fri Apr 19 14:09:53 +0000 2024,0,0
Fri Apr 19 14:08:45 +0000 2024,4,0
Fri Apr 19 13:58:26 +0000 2024,0,1
Fri Apr 19 13:56:55 +0000 2024,0,0
Fri Apr 19 13:53:40 +0000 2024,0,0
Fri Apr 19 13:52:06 +0000 2024,0,0
Fri Apr 19 13:50:55 +0000 2024,0,0
Fri Apr 19 13:49:32 +0000 2024,0,0
Fri Apr 19 13:48:57 +0000 2024,0,0
Fri Apr 19 13:47:55 +0000 2024,0,5
Fri Apr 19 13:39:16 +0000 2024,0,0
Fri Apr 19 13:35:28 +0000 2024,1,1
Fri Apr 19 13:31:23 +0000 2024,0,0
Fri Apr 19 13:30:10 +0000 2024,0,0
Fri Apr 19 13:29:23 +0000 2024,1,0
Fri Apr 19 13:29:13 +0000 2024,0,0
Fri Apr 19 13:26:59 +0000 2024,0,0
Fri Apr 19 13:05:40 +0000 2024,0,0
Fri Apr 19 12:56:52 +0000 2024,0,0
Fri Apr 19 12:53:30 +0000 2024,0,0
Fri Apr 19 12:52:43 +0000 2024,20,1
Fri Apr 19 12:47:08 +0000 2024,3,0
Fri Apr 19 12:46:48 +0000 2024,0,0
Fri Apr 19 12:43:44 +0000 2024,1,0
Fri Apr 19 12:42:01 +0000 2024,0,0
Fri Apr 19 12:41:44 +0000 2024,1,0
Fri Apr 19 12:37:05 +0000 2024,0,0
Fri Apr 19 12:36:49 +0000 2024,0,0
Fri Apr 19 12:36:35 +0000 2024,0,0
Fri Apr 19 11:30:39 +0000 2024,0,0
Fri Apr 19 11:23:11 +0000 2024,0,0
Fri Apr 19 11:23:03 +0000 2024,0,0
Fri Apr 19 11:21:30 +0000 2024,0,0
Fri Apr 19 11:20:55 +0000 2024,0,0
Fri Apr 19 11:17:56 +0000 2024,0,0
Fri Apr 19 11:16:11 +0000 2024,0,0
Fri Apr 19 11:15:59 +0000 2024,0,0
Fri Apr 19 11:13:34 +0000 2024,0,0
Fri Apr 19 11:12:05 +0000 2024,0,0
Fri Apr 19 11:09:53 +0000 2024,11,5
Fri Apr 19 11:06:57 +0000 2024,0,0
Fri Apr 19 11:05:51 +0000 2024,0,0
Fri Apr 19 11:02:38 +0000 2024,0,0
Fri Apr 19 11:02:12 +0000 2024,0,0
Fri Apr 19 10:51:58 +0000 2024,0,0
Fri Apr 19 10:47:39 +0000 2024,0,0
Fri Apr 19 10:42:25 +0000 2024,0,0
Fri Apr 19 10:23:56 +0000 2024,0,0
Fri Apr 19 08:49:13 +0000 2024,4,0
Fri Apr 19 08:41:12 +0000 2024,0,1
Fri Apr 19 08:32:34 +0000 2024,0,0
Fri Apr 19 08:22:07 +0000 2024,0,0
Fri Apr 19 08:21:18 +0000 2024,4052,528
Fri Apr 19 08:12:59 +0000 2024,0,0
Fri Apr 19 08:11:46 +0000 2024,0,0
Fri Apr 19 08:07:02 +0000 2024,0,0
Fri Apr 19 07:59:15 +0000 2024,4,0
Fri Apr 19 07:47:01 +0000 2024,0,0
Fri Apr 19 07:26:56 +0000 2024,0,0
Fri Apr 19 07:25:26 +0000 2024,1,0
Fri Apr 19 07:21:23 +0000 2024,0,0
Fri Apr 19 07:20:03 +0000 2024,0,0
Fri Apr 19 07:19:35 +0000 2024,1,1
Fri Apr 19 07:17:55 +0000 2024,0,0
Fri Apr 19 07:15:01 +0000 2024,27,7
Fri Apr 19 07:14:45 +0000 2024,0,0
