"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1781471515592228895","Fri Apr 19 23:54:42 +0000 2024","0","Gak bawa le sserafim gak rame","1781471515592228895","","","in","","0","0","0","https://x.com/reiissante/status/1781471515592228895","1675155509878599680","reiissante"
"1781469981261320256","Fri Apr 19 23:48:36 +0000 2024","1","lol tetiba salahkan eunchae sebab sapa suruh debut sebab masih minor?? manusia ni memang bodoh kan. pastu cakap le sserafim tak patut debut lagi sebab dorang masih tak ready. bodoh ke kalau tak ready takdanya banyak achievements macam sekarang.","1781469981261320256","","","in","","0","0","0","https://x.com/eunchaeeeeelove/status/1781469981261320256","1758291613745659905","eunchaeeeeelove"
"1781468915656458355","Fri Apr 19 23:44:22 +0000 2024","0","Le sserafim punya Coachella performance mcm nyanyian budak tadika dekat pentas..mcm mana boleh terlepas pi situ depa ingat depa Blackpink kott","1781468915656458355","","","in","🇲🇾","0","0","0","https://x.com/anissnajwa_/status/1781468915656458355","1372956506656706561","anissnajwa_"
"1781468487598444974","Fri Apr 19 23:42:40 +0000 2024","1","Hybe memang bongokss pilih member le sserafim &amp; illit yg tak reti sing live siapa suruh buang gfriend..kan dah kena karma","1781468487598444974","","","in","🇲🇾","0","1","0","https://x.com/anissnajwa_/status/1781468487598444974","1372956506656706561","anissnajwa_"
"1781363922400051246","Fri Apr 19 23:37:34 +0000 2024","0","@viraltakes buat yg hate le sserafim nah sukurin tuh dikasih perform lagiii. menyala cewe geowl-geowl ku","1781467203902283820","","viraltakes","in","she/her ","0","0","0","https://x.com/youurdeey/status/1781467203902283820","1214056655475724291","youurdeey"
"1781461528379863145","Fri Apr 19 23:30:17 +0000 2024","0","@Nvtnunlehu emangnya situ bantu streaming? beli album le sserafim? nonton konser mereka? atau abisin waktu buat vote anak ssera? ngga kan? kok lebih berisik gaya nya ketimbang fans nya ssera? mereka aja ga merasa rugi kok ","1781465372224614474","","hyukaningning2","in","","0","1","0","https://x.com/hyukaningning2/status/1781465372224614474","1382410727420416001","hyukaningning2"
"1781464892383617376","Fri Apr 19 23:28:23 +0000 2024","1","Yg mau bersilahturahmi dipersilahkan tp ttp jadi good person Ya gaes","1781464892383617376","","","in","Jakarta Selatan, DKI Jakarta","0","0","0","https://x.com/pepepiona/status/1781464892383617376","1739803290383314944","pepepiona"
"1781463882827211034","Fri Apr 19 23:24:22 +0000 2024","0","Chungah unnie ","1781463882827211034","","","in","Jakarta Selatan, DKI Jakarta","0","0","0","https://x.com/pepepiona/status/1781463882827211034","1739803290383314944","pepepiona"
"1781463791064293714","Fri Apr 19 23:24:00 +0000 2024","393","Dan lagi gw nemuin orang munafik mbak kalo mau ngehate orang mbok ya dicek dulu bio nya jd orang baik kok ngehate dan bully orang BE A GOOD PERSON https://t.co/iT7VkT80Ew","1781463791064293714","https://pbs.twimg.com/media/GLkH31kawAA1JgW.jpg","","in","Jakarta Selatan, DKI Jakarta","21","13","66","https://x.com/pepepiona/status/1781463791064293714","1739803290383314944","pepepiona"
"1781342488621629896","Fri Apr 19 23:17:24 +0000 2024","0","@lekkuratan @lynaylah Iya kan le sserafim udah terkenal banget si sekarang. Apalagi sejak teriak² di coachella kemarin","1781462131977953315","","lekkuratan","in","","0","1","0","https://x.com/jawlinedel/status/1781462131977953315","1213137703178362880","jawlinedel"
"1781460452347875415","Fri Apr 19 23:10:44 +0000 2024","0","gw mah sesek napas tiap liat kritik ke le sserafim","1781460452347875415","","","in","","0","0","0","https://x.com/kimchichaewon/status/1781460452347875415","1580177288154345472","kimchichaewon"
"1781315335813263523","Fri Apr 19 23:06:46 +0000 2024","2","@deezkidz1 Pirnot anak2 baik kok ","1781459455122751755","","deezkidz1","in","Jakarta Selatan, DKI Jakarta","0","0","0","https://x.com/pepepiona/status/1781459455122751755","1739803290383314944","pepepiona"
"1781156231450595785","Fri Apr 19 22:58:51 +0000 2024","0","@forevernugu Sakiiiiiii","1781457461968548119","","kkurafearnot39","tr","Jakarta Selatan, DKI Jakarta","0","0","0","https://x.com/pepepiona/status/1781457461968548119","1739803290383314944","pepepiona"
"1781424548040323507","Fri Apr 19 22:51:41 +0000 2024","0","@peopleenamduaa Training bertahun tahun itu bukan berarti jd wow gt tapiii malah nunjukin dia belom worth buat debut dan ada kasus jg udh bertahun2 training ehhh pas mau didebut diganti tmptnya ama yg baru training sebulan ","1781455657637695599","","sakurakarawaci","in","Jakarta Selatan, DKI Jakarta","0","1","0","https://x.com/pepepiona/status/1781455657637695599","1739803290383314944","pepepiona"
"1781454427964297506","Fri Apr 19 22:46:48 +0000 2024","1","@le_sserafim @SOURCEMUSIC bisa nggak sih elo bertindak cepat?????!!! Oiya kalo bisa mending akun² ig pribadi member dinonaktifkan aja komennya","1781454427964297506","","le_sserafim","in","","0","0","0","https://x.com/02_LSRFIM/status/1781454427964297506","1134701694179192832","02_LSRFIM"
